;"﻿""Code SP+ de la structure""";Intitulé du réseau;Intitulé de la typologie;Intitulé de la structure;Intitulé structure usager;Description de la structure;Identifiant de la structure;Type d'identifiant;Code SP+ structure parent;Intitulé de la structure parente;Adresse;Compléments Adresse;Code postal de la structure;Ville;PAYS;Codes Postaux;Départements;URL du site internet;Boîte à lettre fonctionnelle;Clé de tracking;Actif;Code sp+ de la typologie;INSEE Ville;INSEE Département;INSEE Région;INSEE Arrondissement
547;FFLz2Fnouq;POLE EMPLOI;DTD POLE EMPLOI;DTD SOMME-PE;;DTD SOMME-PE;HDF0250;;JyGAFeoGnd;DT 02/80 AISNE-SOMME-PE;;;80040;AMIENS;France;;;;;;Oui;XPvSnOu32K;com80021;dep80;reg32;arr80021
550;UG8hiFFQgo;POLE EMPLOI;DTD POLE EMPLOI;DTD TERRE ET MER-PE;;DTD TERRE ET MER-PE;BRE0531;;yTNlkDTQQY;DT 56 MORBIHAN-PE;;;56890;PLESCOP;France;;;;;;Oui;XPvSnOu32K;com56158;dep56;reg53;arr56158
554;T5XQH4JcWm;POLE EMPLOI;DTD POLE EMPLOI;DTD VEZERE ET CORREZE-PE;;DTD VEZERE ET CORREZE-PE;NAQ1040;;CN8LyM40cf;DT 19/24 DORDOGNE CORREZE-PE;;;24016;PERIGUEUX;France;;;;;;Oui;XPvSnOu32K;com24322;dep24;reg75;arr24322
575;wF9UZJKQRy;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ECHIROLLES-PE;;ECHIROLLES-PE;ARA0094;;TK2uOgASS6;DTD SUD ISERE-PE;;;38130;ECHIROLLES;France;;;;;;Oui;VBk7hCR4zw;com38151;dep38;reg84;arr38151
608;JRt1rBnkl7;POLE EMPLOI;PFP POLE EMPLOI;EMI BORDEAUX-PE;;EMI BORDEAUX-PE;NAQ0132;;Vqbq17PlBE;DT 33 GIRONDE-PE;;;33076;BORDEAUX;France;;;;;;Oui;ARovVA6I9H;com33063;dep33;reg75;arr33063
609;5mYXnMaJkS;POLE EMPLOI;PFP POLE EMPLOI;EMI MARSEILLE-PE;;EMI MARSEILLE-PE;PAC0832;;yFd8kLWreA;DT 13 BOUCHES-DU-RHONE-PE;;;13003;MARSEILLE 03;France;;;;;;Oui;ARovVA6I9H;com13055;dep13;reg93;arr13055-03
610;TdrXT9EI7w;POLE EMPLOI;PFP POLE EMPLOI;EMI MONTPELLIER-PE;;EMI MONTPELLIER-PE;OCC1017;;39M46DoiF4;DT 34 HERAULT-PE;;;34470;PEROLS;France;;;;;;Oui;ARovVA6I9H;com34198;dep34;reg76;arr34198
649;YcMxqTEoce;POLE EMPLOI;AGENCE POLE EMPLOI (APE);EPINAL DUTAC-PE;;EPINAL DUTAC-PE;GRE0073;;FiOTYvWj7s;DT 88 VOSGES-PE;;;88021;EPINAL;France;;;;;;Oui;VBk7hCR4zw;com88160;dep88;reg44;arr88160
690;4XXbGpBnJv;POLE EMPLOI;AGENCE POLE EMPLOI (APE);EVREUX BROSSOLETTE-PE;;EVREUX BROSSOLETTE-PE;NOR0122;;41gGxqDZmE;DTD EURE-PE;;;27000;EVREUX;France;;;;;;Oui;VBk7hCR4zw;com27229;dep27;reg28;arr27229
700;08cMMbBQhe;POLE EMPLOI;AGENCE POLE EMPLOI (APE);FALAISE-PE;;FALAISE-PE;NOR0059;;PynLTIdqU9;DTD CALVADOS-PE;;;14700;FALAISE;France;;;;;;Oui;VBk7hCR4zw;com14258;dep14;reg28;arr14258
707;CCUObs1hnK;POLE EMPLOI;AGENCE POLE EMPLOI (APE);FIRMINY-PE;;FIRMINY-PE;ARA0231;;x0M932lvwA;DTD HAUTE-LOIRE-PE;;;42704;FIRMINY;France;;;;;;Oui;VBk7hCR4zw;com42095;dep42;reg84;arr42095
709;ecxQCs2wWj;POLE EMPLOI;AGENCE POLE EMPLOI (APE);FOIX-PE;;FOIX-PE;OCC0124;;uF4J6YFWqZ;DTD ARIEGE AUDE-PE;;;9000;FOIX;France;;;;;;Oui;VBk7hCR4zw;com09122;dep09;reg76;arr09122
710;Y87BWkp8SS;POLE EMPLOI;AGENCE POLE EMPLOI (APE);FONTENAY LE COMTE-PE;;FONTENAY LE COMTE-PE;PDL0021;;7PXmS4TJZn;DTD BOCAGE ET SUD VENDEE-PE;;;85200;FONTENAY LE COMTE;France;;;;;;Oui;VBk7hCR4zw;com85092;dep85;reg52;arr85092
711;nF2SilWCZN;POLE EMPLOI;AGENCE POLE EMPLOI (APE);FORT DE FRANCE KERLYS-PE;;FORT DE FRANCE KERLYS-PE;MAR0021;;J1wnlZ4lHZ;DTD CENTRE-NORD CARAIBES-PE;;;97205;FORT DE FRANCE;France;;;;;;Oui;VBk7hCR4zw;com97209;dep972;reg02;arr97209
713;rcggLRwlDs;POLE EMPLOI;AGENCE RELAIS POLE EMPLOI (RPE);FOURMIES-PE;;FOURMIES-PE;HDF0106;;xojvoYSnz1;DT 59 NORD-PE;;;59610;FOURMIES;France;;;;;;Oui;40u6qHhYe2;com59249;dep59;reg32;arr59249
740;woXYh3HWWa;POLE EMPLOI;AGENCE POLE EMPLOI (APE);FRIVILLE ESCARBOTIN-PE;;FRIVILLE ESCARBOTIN-PE;HDF0192;;FFLz2Fnouq;DTD SOMME-PE;;;80532;FRIVILLE ESCARBOTIN;France;;;;;;Oui;VBk7hCR4zw;com80368;dep80;reg32;arr80368
749;vm5VFQ9SgP;POLE EMPLOI;AGENCE POLE EMPLOI (APE);GIEN-PE;;GIEN-PE;CEN0060;;SeNS2kBNGM;DTD LOIRET-PE;;;45500;GIEN;France;;;;;;Oui;VBk7hCR4zw;com45155;dep45;reg24;arr45155
752;5eBEDy6yP5;POLE EMPLOI;AGENCE POLE EMPLOI (APE);GIVORS-PE;;GIVORS-PE;ARA0157;;XZbklNz0p7;DTD RHONE SUD EST-PE;;;69701;GIVORS;France;;;;;;Oui;VBk7hCR4zw;com69091;dep69;reg84;arr69091
758;yBaxyCOoBC;POLE EMPLOI;AGENCE POLE EMPLOI (APE);GRANDE-SYNTHE-PE;;GRANDE-SYNTHE-PE;HDF0036;;gh05mohFyY;DTD FLANDRES-PE;;;59760;GRANDE SYNTHE;France;;;;;;Oui;VBk7hCR4zw;com59271;dep59;reg32;arr59271
761;4SrUVwukfa;POLE EMPLOI;AGENCE POLE EMPLOI (APE);GRANVILLE-PE;;GRANVILLE-PE;NOR0034;;HzxwzM2ySU;DTD MANCHE-PE;;;50400;GRANVILLE;France;;;;;;Oui;VBk7hCR4zw;com50218;dep50;reg28;arr50218
763;Ad86uYsz8m;POLE EMPLOI;AGENCE POLE EMPLOI (APE);GRAVELINES-PE;;GRAVELINES-PE;HDF0071;;gh05mohFyY;DTD FLANDRES-PE;;;59820;GRAVELINES;France;;;;;;Oui;VBk7hCR4zw;com59273;dep59;reg32;arr59273
765;lc85HGx41t;POLE EMPLOI;AGENCE POLE EMPLOI (APE);GRENOBLE EUROPOLE-PE;;GRENOBLE EUROPOLE-PE;ARA0101;;TK2uOgASS6;DTD SUD ISERE-PE;;;38027;GRENOBLE;France;;;;;;Oui;VBk7hCR4zw;com38185;dep38;reg84;arr38185
831;Jax6mWINcH;POLE EMPLOI;AGENCE POLE EMPLOI (APE);GUEBWILLER-PE;;GUEBWILLER-PE;GRE0211;;4RYThBZ8kB;DTD HAUT-RHIN GRAND COLMAR-VALLEES-PE;;;68500;GUEBWILLER;France;;;;;;Oui;VBk7hCR4zw;com68112;dep68;reg44;arr68112
837;p00PUI31Yp;POLE EMPLOI;AGENCE RELAIS POLE EMPLOI (RPE);GUISE-PE;;GUISE-PE;HDF0232;;JyGAFeoGnd;DT 02/80 AISNE-SOMME-PE;;;2120;GUISE;France;;;;;;Oui;40u6qHhYe2;com02361;dep02;reg32;arr02361
841;fyvAwoMZLR;POLE EMPLOI;AGENCE POLE EMPLOI (APE);HAGUENAU-PE;;HAGUENAU-PE;GRE0185;;u62r57ufM8;DTD CENTRE ET NORD ALSACE-PE;;;67500;HAGUENAU;France;;;;;;Oui;VBk7hCR4zw;com67180;dep67;reg44;arr67180
843;qfohpDIa3y;POLE EMPLOI;AGENCE POLE EMPLOI (APE);HALLUIN-PE;;HALLUIN-PE;HDF0041;;aoHBIcFBXF;DTD VERSANT NORD EST-PE;;;59432;HALLUIN;France;;;;;;Oui;VBk7hCR4zw;com59279;dep59;reg32;arr59279
845;3YQcnve3hu;POLE EMPLOI;AGENCE POLE EMPLOI (APE);HAUBOURDIN-PE;;HAUBOURDIN-PE;HDF0059;;BrDcTPt6yt;DTD LILLE-PE;;;59320;HAUBOURDIN;France;;;;;;Oui;VBk7hCR4zw;com59286;dep59;reg32;arr59286
859;qi1av9hOYJ;POLE EMPLOI;AGENCE POLE EMPLOI (APE);HERBLAY-PE;;HERBLAY-PE;IDF0112;;NpPB4dHNJi;DTD 95 VAL-D'OISE OUEST-PE;;;95220;HERBLAY SUR SEINE;France;;;;;;Oui;VBk7hCR4zw;com95306;dep95;reg11;arr95306
861;Kx0DGaWvd2;POLE EMPLOI;AGENCE RELAIS POLE EMPLOI (RPE);HERICOURT-PE;;HERICOURT-PE;BFC0082;;3hKMZyD1cN;DT 39/70 JURA HAUTE-SAONE-PE;;;70400;HERICOURT;France;;;;;;Oui;40u6qHhYe2;com70285;dep70;reg27;arr70285
993;FFXxaUoncD;POLE EMPLOI;AGENCE POLE EMPLOI (APE);HYERES-PE;;HYERES-PE;PAC0092;;5VxX0JsZrg;DTD BASSIN TOULON-PE;;;83418;HYERES;France;;;;;;Oui;VBk7hCR4zw;com83069;dep83;reg93;arr83069
994;WiYrL1XaRa;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ILE ROUSSE-PE;;ILE ROUSSE-PE;COR0020;;KNN6prtnYS;DT 20 HAUTE CORSE-PE;;;20220;L ILE ROUSSE;France;;;;;;Oui;VBk7hCR4zw;com2B010;dep2B;reg94;arr2B010
1014;bBfzzMk4Xj;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ISSOUDUN-PE;;ISSOUDUN-PE;CEN0015;;dPMyyNeOT0;DTD BERRY-PE;;;36100;ISSOUDUN;France;;;;;;Oui;VBk7hCR4zw;com36088;dep36;reg24;arr36088
1022;KSlmK59dyi;POLE EMPLOI;AGENCE POLE EMPLOI (APE);IVRY-SUR-SEINE-PE;;IVRY-SUR-SEINE-PE;IDF0301;;TMZ203G5eH;DTD 94 VAL-DE-MARNE OUEST-PE;;;94200;IVRY SUR SEINE;France;;;;;;Oui;VBk7hCR4zw;com94041;dep94;reg11;arr94041
1025;nWP2ZYyvqk;POLE EMPLOI;AGENCE POLE EMPLOI (APE);JARRY-PE;;JARRY-PE;GUA0162;;znKgU6C3Du;DT 971 GRANDE-TERRE CAP EXCELLENCE-PE;;;97122;BAIE MAHAULT;France;;;;;;Oui;VBk7hCR4zw;com97103;dep971;reg01;arr97103
1032;9WvHieDOdP;POLE EMPLOI;AGENCE POLE EMPLOI (APE);KOUROU-PE;;KOUROU-PE;GUY0011;;5XrtOisBbk;DT 973 GUYANE-PE;;;97310;KOUROU;France;;;;;;Oui;VBk7hCR4zw;com97304;dep973;reg03;arr97304
1040;V6mFzXLUPS;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LA COTE SAINT ANDRE-PE;;LA COTE SAINT ANDRE-PE;ARA0089;;Ly9vvJ5693;DTD NORD ISERE-PE;;;38261;LA COTE SAINT-ANDRE;France;;;;;;Oui;VBk7hCR4zw;com38130;dep38;reg84;arr38130
1044;2IcB5wKL4F;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LA FERTE BERNARD-PE;;LA FERTE BERNARD-PE;PDL0042;;bvrWaLIUEN;DTD LE MANS NORD-SARTHE-PE;;;72400;LA FERTE BERNARD;France;;;;;;Oui;VBk7hCR4zw;com72132;dep72;reg52;arr72132
1046;xgDKMfnJed;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LA FLECHE-PE;;LA FLECHE-PE;PDL0041;;M9sZlavnA7;DTD MAYENNE SUD-SARTHE-PE;;;72200;LA FLECHE;France;;;;;;Oui;VBk7hCR4zw;com72154;dep72;reg52;arr72154
1049;CmyrJJOaYR;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LA GARDE-PE;;LA GARDE-PE;PAC0088;;5VxX0JsZrg;DTD BASSIN TOULON-PE;;;83130;LA GARDE;France;;;;;;Oui;VBk7hCR4zw;com83062;dep83;reg93;arr83062
1055;GLBOBjpD1V;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LA MADELEINE-PE;;LA MADELEINE-PE;HDF0032;;BrDcTPt6yt;DTD LILLE-PE;;;59110;LA MADELEINE;France;;;;;;Oui;VBk7hCR4zw;com59368;dep59;reg32;arr59368
1060;C9DU1uDmfF;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LA ROCHELLE-BEL AIR-PE;;LA ROCHELLE-BEL AIR-PE;NAQ0225;;KDAPynKWBi;DTD CHARENTE-MARITIME OCEAN-PE;;;17042;LA ROCHELLE;France;;;;;;Oui;VBk7hCR4zw;com17300;dep17;reg75;arr17300
1062;Q5q0N3xJnj;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LA ROCHELLE-VILLENEUVE-PE;;LA ROCHELLE-VILLENEUVE-PE;NAQ0227;;KDAPynKWBi;DTD CHARENTE-MARITIME OCEAN-PE;;;17044;LA ROCHELLE;France;;;;;;Oui;VBk7hCR4zw;com17300;dep17;reg75;arr17300
1064;YP9ChKcLBi;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LA TESTE-PE;;LA TESTE-PE;NAQ0144;;bJZukLINR4;DTD METROPOLE OUEST ET BASSIN-PE;;;33164;LA TESAINTE-DE BUCH;France;;;;;;Oui;VBk7hCR4zw;com33529;dep33;reg75;arr33529
1066;YO8VZ0YrRc;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LABEGE-PE;;LABEGE-PE;OCC0097;;vJjQq9BLni;DTD HAUTE-GARONNE EXTRA-MUROS-PE;;;31670;LABEGE;France;;;;;;Oui;VBk7hCR4zw;com31254;dep31;reg76;arr31254
1071;l76oCAP6ex;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LAMBALLE-PE;;LAMBALLE-PE;BRE0094;;BXy7yyPQal;DTD BAIE D'ARMOR-PE;;;22405;LAMBALLE ARMOR;France;;;;;;Oui;VBk7hCR4zw;com22093;dep22;reg53;arr22093
1073;chestaSXaE;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LANDERNEAU-PE;;LANDERNEAU-PE;BRE0047;;YfNaWJOS9w;DTD TERRES ET IROISE-PE;;;29419;LANDERNEAU;France;;;;;;Oui;VBk7hCR4zw;com29103;dep29;reg53;arr29103
1274;1KlRxQJOSX;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LENS LALOUX-PE;;LENS LALOUX-PE;HDF0162;;dROllo8XP6;DTD ARRAGEOIS-PE;;;62300;LENS;France;;;;;;Oui;VBk7hCR4zw;com62498;dep62;reg32;arr62498
1288;GXlmuyrOcw;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LES ULIS-PE;;LES ULIS-PE;IDF0152;;y4MdHz6k7d;DTD 91 ESSONNE OUEST-PE;;;91940;LES ULIS;France;;;;;;Oui;VBk7hCR4zw;com91692;dep91;reg11;arr91692
1290;m5Zk1kPAIu;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LESPARRE-MEDOC-PE;;LESPARRE-MEDOC-PE;NAQ0150;;UrjvkajyHa;DTD BORDEAUX ESTUAIRE-PE;;;33340;LESPARRE MEDOC;France;;;;;;Oui;VBk7hCR4zw;com33240;dep33;reg75;arr33240
1296;qgVQs2xEdH;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LILLE REPUBLIQUE-PE;;LILLE REPUBLIQUE-PE;HDF0045;;BrDcTPt6yt;DTD LILLE-PE;;;59800;LILLE;France;;;;;;Oui;VBk7hCR4zw;com59350;dep59;reg32;arr59350
1298;st31l8QIEZ;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LILLE VAUCANSON-PE;;LILLE VAUCANSON-PE;HDF0025;;BrDcTPt6yt;DTD LILLE-PE;;;59000;LILLE;France;;;;;;Oui;VBk7hCR4zw;com59350;dep59;reg32;arr59350
1304;cu826FBh7s;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LIMOGES VENTADOUR-PE;;LIMOGES VENTADOUR-PE;NAQ0012;;ncxSLQhWka;DTD CREUSE HAUTE-VIENNE-PE;;;87006;LIMOGES;France;;;;;;Oui;VBk7hCR4zw;com87085;dep87;reg75;arr87085
1308;RRKhaube1O;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LIMOUX-PE;;LIMOUX-PE;OCC0211;;uF4J6YFWqZ;DTD ARIEGE AUDE-PE;;;11300;LIMOUX;France;;;;;;Oui;VBk7hCR4zw;com11206;dep11;reg76;arr11206
1310;3zK2LhOj86;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LISIEUX-PE;;LISIEUX-PE;NOR0056;;PynLTIdqU9;DTD CALVADOS-PE;;;14107;LISIEUX;France;;;;;;Oui;VBk7hCR4zw;com14366;dep14;reg28;arr14366
1314;mwRKGmktQA;POLE EMPLOI;AGENCE RELAIS POLE EMPLOI (RPE);LODEVE-PE;;LODEVE-PE;OCC0200;;39M46DoiF4;DT 34 HERAULT-PE;;;34700;LODEVE;France;;;;;;Oui;40u6qHhYe2;com34142;dep34;reg76;arr34142
1318;Wzt6sKThHv;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LOMME-PE;;LOMME-PE;HDF0058;;BrDcTPt6yt;DTD LILLE-PE;;;59160;LILLE;France;;;;;;Oui;VBk7hCR4zw;com59350;dep59;reg32;arr59350
1322;LWTlgFi5Vt;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LONGJUMEAU-PE;;LONGJUMEAU-PE;IDF0149;;y4MdHz6k7d;DTD 91 ESSONNE OUEST-PE;;;91160;LONGJUMEAU;France;;;;;;Oui;VBk7hCR4zw;com91345;dep91;reg11;arr91345
1328;fuqelX8wN3;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LONS-PE;;LONS-PE;NAQ0049;;yZu1RTro69;DTD BEARN-PE;;;64140;LONS;France;;;;;;Oui;VBk7hCR4zw;com64348;dep64;reg75;arr64348
1334;nAjx6MO9m9;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LORIENT VILLE-PE;;LORIENT VILLE-PE;BRE0018;;aHwJRhTKt2;DTD LITTORAL OUEST-PE;;;56322;LORIENT;France;;;;;;Oui;VBk7hCR4zw;com56121;dep56;reg53;arr56121
1336;sg8MczT0GR;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LORMONT-PE;;LORMONT-PE;NAQ0133;;PSB0DtJN0L;DTD RIVES EST-PE;;;33306;LORMONT;France;;;;;;Oui;VBk7hCR4zw;com33249;dep33;reg75;arr33249
1338;N7RNH2PMrg;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LOUDEAC-PE;;LOUDEAC-PE;BRE0099;;37ECv6AzI2;DTD MER ET VALLEES-PE;;;22606;LOUDEAC;France;;;;;;Oui;VBk7hCR4zw;com22136;dep22;reg53;arr22136
1340;IuCxmZ4cly;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LOUDUN-PE;;LOUDUN-PE;NAQ0166;;VoDAheL8i0;DTD VIENNE-PE;;;86200;LOUDUN;France;;;;;;Oui;VBk7hCR4zw;com86137;dep86;reg75;arr86137
1342;sCzI19Z0x4;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LOUHANS-PE;;LOUHANS-PE;BFC0048;;F3JbO76q14;DTD 71 SAÔNE-ET-LOIRE-PE;;;71501;LOUHANS;France;;;;;;Oui;VBk7hCR4zw;com71263;dep71;reg27;arr71263
1390;f05Ldvvb6A;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LUCON-PE;;LUCON-PE;PDL0454;;7PXmS4TJZn;DTD BOCAGE ET SUD VENDEE-PE;;;85400;LUCON;France;;;;;;Oui;VBk7hCR4zw;com85128;dep85;reg52;arr85128
1394;rWzVNaF5XP;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LUNEL-PE;;LUNEL-PE;OCC0184;;zhle5FODZl;DTD HERAULT 2-PE;;;34400;LUNEL;France;;;;;;Oui;VBk7hCR4zw;com34145;dep34;reg76;arr34145
1406;qFTuo3LWTW;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LYON JEAN JAURES-PE;;LYON JEAN JAURES-PE;ARA0147;;tBBEfgrjMu;DTD LYON-PE;;;69362;LYON 07;France;;;;;;Oui;VBk7hCR4zw;com69123;dep69;reg84;arr69123-62
1408;cZx0qbrpXc;POLE EMPLOI;AGENCE POLE EMPLOI (APE);LYON PART-DIEU-PE;;LYON PART-DIEU-PE;ARA0145;;tBBEfgrjMu;DTD LYON-PE;;;69487;LYON 03;France;;;;;;Oui;VBk7hCR4zw;com69123;dep69;reg84;arr69123-87
1412;5r6pS47mVE;POLE EMPLOI;AGENCE POLE EMPLOI (APE);MACON-PE;;MACON-PE;BFC0038;;F3JbO76q14;DTD 71 SAÔNE-ET-LOIRE-PE;;;71000;MACON;France;;;;;;Oui;VBk7hCR4zw;com71270;dep71;reg27;arr71270
1541;bkCpE3ux7N;POLE EMPLOI;PFP POLE EMPLOI;SERVICE REGIONAL AUX ENTREPRISES-PE;;SERVICE REGIONAL AUX ENTREPRISES-PE;PDL0440;;Cl4tiFvz12;DR PAYS DE LA LOIRE-PE;;;44816;SAINT-HERBLAIN;France;;;;;;Oui;ARovVA6I9H;com44162;dep44;reg52;arr44162
1546;pbLlq7w8As;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SETE-PE;;SETE-PE;OCC0198;;v9UfsR5crh;DTD HERAULT 1-PE;;;34200;SETE;France;;;;;;Oui;VBk7hCR4zw;com34301;dep34;reg76;arr34301
1547;2L9y6D9fky;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SEVRAN-PE;;SEVRAN-PE;IDF0265;;LzXHhVpJWr;DTD 93 SEINE-SAINT-DENIS CENTRE-PE;;;93270;SEVRAN;France;;;;;;Oui;VBk7hCR4zw;com93071;dep93;reg11;arr93071
1548;aHA9hTsTBL;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SEZANNE-PE;;SEZANNE-PE;GRE0027;;C1u4ZNgcfb;DTD MARNE-PE;;;51120;SEZANNE;France;;;;;;Oui;VBk7hCR4zw;com51535;dep51;reg44;arr51535
1608;TCJ3PitqBp;POLE EMPLOI;AGENCE POLE EMPLOI (APE);MARIE GALANTE-PE;;MARIE GALANTE-PE;GUA0016;;dbCJOCgyCb;DT 971 BASSE-TERRE ET MARIE-GALANTE-PE;;;97112;GRAND BOURG;France;;;;;;Oui;VBk7hCR4zw;com97112;dep971;reg01;arr97112
1609;4RKmhbaWdB;POLE EMPLOI;AGENCE RELAIS POLE EMPLOI (RPE);MARIPASOULA-PE;;MARIPASOULA-PE;GUY0014;;5XrtOisBbk;DT 973 GUYANE-PE;;;97370;MARIPASOULA;France;;;;;;Oui;40u6qHhYe2;com97353;dep973;reg03;arr97353
1610;SpUQnJLfDc;POLE EMPLOI;AGENCE POLE EMPLOI (APE);MARMANDE-PE;;MARMANDE-PE;NAQ0076;;1v8g2azP5g;DTD LOT-ET-GARONNE-PE;;;47213;MARMANDE;France;;;;;;Oui;VBk7hCR4zw;com47157;dep47;reg75;arr47157
1611;xuj6kFxmTL;POLE EMPLOI;AGENCE POLE EMPLOI (APE);MARSEILLE CARRE GABRIEL-PE;;MARSEILLE CARRE GABRIEL-PE;PAC0062;;pKATlECH08;DTD MARSEILLE COLLINE-PE;;;13014;MARSEILLE 14;France;;;;;;Oui;VBk7hCR4zw;com13055;dep13;reg93;arr13055-14
1612;rmyDLAUj2V;POLE EMPLOI;AGENCE POLE EMPLOI (APE);MARSEILLE PONT DE VIVAUX-PE;;MARSEILLE PONT DE VIVAUX-PE;PAC0060;;pKATlECH08;DTD MARSEILLE COLLINE-PE;;;13010;MARSEILLE 10;France;;;;;;Oui;VBk7hCR4zw;com13055;dep13;reg93;arr13055-10
1613;pP6kJqZlJO;POLE EMPLOI;AGENCE POLE EMPLOI (APE);MARSEILLE SAINT CHARLES-PE;;MARSEILLE SAINT CHARLES-PE;PAC0020;;7b4Fyfidyz;DTD MARSEILLE MER-PE;;;13003;MARSEILLE 03;France;;;;;;Oui;VBk7hCR4zw;com13055;dep13;reg93;arr13055-03
1622;QPnvUJb6kk;POLE EMPLOI;AGENCE RELAIS POLE EMPLOI (RPE);MAURIAC-PE;;MAURIAC-PE;ARA0053;;ha7IiUeURn;DT 03/15/63 PUYS ALLIER CANTAL-PE;;;15200;MAURIAC;France;;;;;;Oui;40u6qHhYe2;com15120;dep15;reg84;arr15120
1646;pAOENvbzQn;POLE EMPLOI;AGENCE POLE EMPLOI (APE);METZ BLIDA-PE;;METZ BLIDA-PE;GRE0135;;k8D2b7TNds;DTD METROPOLE DE METZ-PE;;;57012;METZ;France;;;;;;Oui;VBk7hCR4zw;com57463;dep57;reg44;arr57463
1694;45EGwUNA2s;POLE EMPLOI;AGENCE POLE EMPLOI (APE);MILLAU-PE;;MILLAU-PE;OCC0029;;CkqeB7m6w1;DTD TARN AVEYRON 1-PE;;;12100;MILLAU;France;;;;;;Oui;VBk7hCR4zw;com12145;dep12;reg76;arr12145
1700;Nud2L6qeKy;POLE EMPLOI;AGENCE POLE EMPLOI (APE);MITRY-MORY-PE;;MITRY-MORY-PE;IDF0341;;kz4oP1rZde;DTD 77 SEINE-ET-MARNE NORD-PE;;;77290;MITRY MORY;France;;;;;;Oui;VBk7hCR4zw;com77294;dep77;reg11;arr77294
1703;MUYqwgiclZ;POLE EMPLOI;AGENCE POLE EMPLOI (APE);MONISTROL-PE;;MONISTROL-PE;ARA0045;;x0M932lvwA;DTD HAUTE-LOIRE-PE;;;43120;MONISTROL SUR LOIRE;France;;;;;;Oui;VBk7hCR4zw;com43137;dep43;reg84;arr43137
1706;gjUVhufr2o;POLE EMPLOI;AGENCE POLE EMPLOI (APE);MONT DE MARSAN-PE;;MONT DE MARSAN-PE;NAQ0078;;Ep3626QPX5;DTD LANDES-PE;;;40004;MONT DE MARSAN;France;;;;;;Oui;VBk7hCR4zw;com40192;dep40;reg75;arr40192
1711;lGGyEktPuD;POLE EMPLOI;AGENCE POLE EMPLOI (APE);MONTAIGU-PE;;MONTAIGU-PE;PDL0016;;7PXmS4TJZn;DTD BOCAGE ET SUD VENDEE-PE;;;85600;BOUFFERE;France;;;;;;Oui;VBk7hCR4zw;com85025;dep85;reg52;arr85025
1712;whujnDxRwg;POLE EMPLOI;AGENCE POLE EMPLOI (APE);MONTAUBAN NORD-PE;;MONTAUBAN NORD-PE;OCC0045;;vviBKOi8xW;DTD LOT-TARN ET GARONNE-PE;;;82000;MONTAUBAN;France;;;;;;Oui;VBk7hCR4zw;com82121;dep82;reg76;arr82121
1715;j1SZwRvXvB;POLE EMPLOI;AGENCE POLE EMPLOI (APE);MONTCEAU LES MINES-PE;;MONTCEAU LES MINES-PE;BFC0046;;F3JbO76q14;DTD 71 SAÔNE-ET-LOIRE-PE;;;71302;MONTCEAU LES MINES;France;;;;;;Oui;VBk7hCR4zw;com71306;dep71;reg27;arr71306
1716;O000qjhwcL;POLE EMPLOI;AGENCE POLE EMPLOI (APE);MONTDIDIER-PE;;MONTDIDIER-PE;HDF0198;;FFLz2Fnouq;DTD SOMME-PE;;;80500;MONTDIDIER;France;;;;;;Oui;VBk7hCR4zw;com80561;dep80;reg32;arr80561
